file,column,old,new,row
cached_analyses_figure_data.csv,term_causal_sign,positive,negative,registry_version=2026-09-23.1; track=KITTI; geometry=mono; system=brake; target=J; objective=nan; optimal_dec=nan; optimal_perc=nan
cached_analyses_figure_data.csv,term_causal_sign,positive,negative,registry_version=2026-09-23.1; track=KITTI; geometry=mono; system=brake; target=J; objective=nan; optimal_dec=nan; optimal_perc=nan
cached_analyses_gap_accounting.csv,term_causal_sign,zero,positive,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_reg; unit=ms; overhead_provenance=measured on nuScenes
cached_analyses_gap_accounting.csv,term_causal_sign,negative,positive,registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=R1_mlp_clf; unit=ms; overhead_provenance=measured on nuScenes
cached_analyses_gap_accounting.csv,term_causal_sign,positive,negative,registry_version=2026-09-23.1; track=KITTI; geometry=mono; system=brake; target=J; signal=R1_mlp_reg; unit=ms; overhead_provenance=measured on KITTI
cached_analyses_gap_accounting.csv,term_causal_sign,positive,negative,registry_version=2026-09-23.1; track=KITTI; geometry=mono; system=brake; target=J; signal=R1_mlp_clf; unit=ms; overhead_provenance=measured on KITTI
cached_analyses_gap_accounting.csv,term_causal_sign,positive,negative,registry_version=2026-09-23.1; track=KITTI; geometry=mono; system=traj; target=JB; signal=R1_mlp_reg; unit=ms; overhead_provenance=measured on KITTI
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.172236]; [1.83381, 1.91486]","[0, 0.39513]; [1.81355, 1.91486]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 2.00605]","[0, 1.90473]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 2.94828]","[0, 2.8267]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 5.23801]","[0, 4.99485]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.18111]; [12.5753, 13.1312]","[0, 2.7096]; [12.4364, 13.1312]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 13.7564]","[0, 13.0617]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 20.2178]","[0, 19.3841]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 35.9196]","[0, 34.2522]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_ridge; unit=mJ; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 1.65144]","[0, 1.59065]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.26342]","[0, 1.17526]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 0.861182]","[0, 1.30697]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=False
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 3.81959]","[0, 3.79933]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=ms; full_fidelity_feasible=True
cached_analyses_overhead_tolerance.csv,overheads_at_least_random,"[0, 11.3248]","[0, 10.9079]",registry_version=2026-09-23.1; track=nuScenes; geometry=oracle; system=brake; target=J; signal=gate_gbm; unit=mJ; full_fidelity_feasible=False
