file,status,identical
outcomes__RT_320__mono__n1.csv.gz,compared,True
outcomes__RT_320__mono__n2.csv.gz,compared,True
outcomes__RT_320__mono__n3.csv.gz,compared,True
outcomes__RT_320__oracle__n1.csv.gz,compared,True
outcomes__RT_480__mono__n1.csv.gz,compared,True
outcomes__RT_480__mono__n2.csv.gz,compared,True
outcomes__RT_480__mono__n3.csv.gz,compared,True
outcomes__RT_480__oracle__n1.csv.gz,compared,True
outcomes__Y8_320__mono__n1.csv.gz,compared,True
outcomes__Y8_320__mono__n2.csv.gz,compared,True
outcomes__Y8_320__mono__n3.csv.gz,compared,True
outcomes__Y8_320__oracle__n1.csv.gz,compared,True
outcomes__Y8_320__oracle__n2.csv.gz,compared,True
outcomes__Y8_320__oracle__n3.csv.gz,compared,True
outcomes__Y8_384__mono__n1.csv.gz,compared,True
outcomes__Y8_384__mono__n2.csv.gz,compared,True
outcomes__Y8_384__mono__n3.csv.gz,compared,True
outcomes__Y8_384__oracle__n1.csv.gz,compared,True
outcomes__Y8_512__mono__n1.csv.gz,compared,True
outcomes__Y8_512__mono__n2.csv.gz,compared,True
outcomes__Y8_512__mono__n3.csv.gz,compared,True
outcomes__Y8_512__oracle__n1.csv.gz,compared,True
