claim_id,statement,verdict,value_now,artifact,note
H1,"On the core track, escalation harms 35–52 % of affected inputs in every row, over all units, at the shared threshold",FAIL,"mono rows (10): 34.2%–53.8%, all within the stated bounds: False; oracle rows: nuScenes oracle q_brake 35.5%, nuScenes oracle q_plan 50.9%, KITTI oracle q_traj 3.0%, KITTI oracle q_brake 24.6%; all 14 rows 3.0%–53.8%","calibration_cells.csv (scheme S0, split all)","Ambiguous: 'every row' holds on the pre-Task-23 tables only for the monocular (deployed) rows -- with the oracle rows it failed there too -- so it is read as the 10 mono fidelity-pair rows and checked as a bound (every row inside 35–52 %). The oracle rows are reported beside it. core_matrix.csv's harmful_full_rate is a share of ALL frames and is not this quantity. Before Task 23 (camera frame, as first shipped): held (mono rows (10): 35.2%–51.6%, all within the stated bounds: True; oracle rows: nuScenes oracle q_brake 48.5%, nuScenes oracle q_plan 51.4%, KITTI oracle q_traj 9.5%, KITTI oracle q_brake 34.1%; all 14 rows 9.5%–51.6%)."
H2,Under oracle geometry the braking controller harms 34–51 % of affected inputs on every KITTI fidelity pair and 48.5 % on nuScenes,FAIL,"KITTI oracle: YOLOv8s 320->640 24.6%, YOLOv8s 384->640 35.3%, YOLOv8s 512->640 39.7%, RT-DETR-l 320->640 47.5%, RT-DETR-l 480->640 47.1%; nuScenes oracle 35.5%","reference_geometry_sweep.csv (reference = oracle geometry, S0, all units); calibration_cells.csv (nuScenes oracle q_brake, S0, all)","Before Task 23 (camera frame, as first shipped): held (KITTI oracle: YOLOv8s 320->640 34.1%, YOLOv8s 384->640 44.1%, YOLOv8s 512->640 44.2%, RT-DETR-l 320->640 50.6%, RT-DETR-l 480->640 48.0%; nuScenes oracle 48.5%)."
H3,Under oracle geometry the trajectory controller's harm ratio is below 0.06 on four of the five fidelity pairs,PASS,"4 of 5 below 0.06: YOLOv8s 320->640 0.0034, YOLOv8s 384->640 0.0016, YOLOv8s 512->640 0.0510, RT-DETR-l 320->640 0.0228, RT-DETR-l 480->640 0.1408","reference_geometry_sweep.csv (q_traj, reference)","Before Task 23 (camera frame, as first shipped): held (4 of 5 below 0.06: YOLOv8s 320->640 0.0040, YOLOv8s 384->640 0.0047, YOLOv8s 512->640 0.0548, RT-DETR-l 320->640 0.0342, RT-DETR-l 480->640 0.3579)."
H4,"Outside the KITTI 320→640 pairs, the core-track harm ratio ranges 0.21–0.82, reaching 0.88 for the learned planner under final displacement; in the KITTI 320→640 cells it is 0.004–0.19",FAIL,"outside 320→640: 0.407–1.114 (max: KITTI mono Y8 512->640 q_traj); learned planner FDE (all units): oracle 0.717, mono 0.834; KITTI 320→640 cells: 0.0034–0.282","calibration_cells.csv (rho, S0, all); benchmark_cells.csv (destroyed_benefit_D of plan_fde, all)","harm ratio = sum of harm / sum of benefit over all units (rho = D). The calibration cells carry the planner under ADE only; FDE is read from benchmark_cells.csv. Before Task 23 (camera frame, as first shipped): held (outside 320→640: 0.211–0.824 (max: nuScenes oracle Y8 320->640 q_plan); learned planner FDE (all units): oracle 0.880, mono 0.834; KITTI 320→640 cells: 0.0040–0.192)."
H5,"On nuScenes braking, helpful escalations reduce the all-cheap loss by 25.0 % and harmful ones raise it by 15.1 %, giving a harm ratio of 0.60 and a net 10.0 % for uniform escalation",FAIL,"benefit 24.1%, harm 10.1%, ratio 0.418, net 14.0% (nuScenes oracle braking, all units)","benchmark_cells.csv (nuScenes oracle brake J, split all)","The statement names neither geometry nor population; oracle geometry over all units is the row whose camera-frame values it quoted. All-cheap loss recovered as (benefit - harm) / all_full_reduction. Before Task 23 (camera frame, as first shipped): held (benefit 25.0%, harm 15.1%, ratio 0.602, net 10.0% (nuScenes oracle braking, all units))."
H6,Mean harm over cells is 39.4 % of affected inputs and 8.9 % of all inputs on the test splits,FAIL,"37.1% of affected, 7.3% of all inputs (mean over 14 cells, test split)","statistics_hardening.csv (section harm, split test)","nuPlan cells here are the official real-perception ones. Before Task 23 (camera frame, as first shipped): held (39.4% of affected, 8.9% of all inputs (mean over 14 cells, test split))."
S1,"On nuScenes oracle geometry at the shared threshold, the four perception-level gains disagree in sign with decision value on 34–43 % of affected braking frames and 49–52 % of planner frames",FAIL,"braking 25.0%–32.6%, planner 49.8%–51.0%","calibration_cells.csv (*_sign_disagreement, nuScenes oracle, S0, all)","Planner = q_plan ADE. Sign disagreement is over frames where both the gain and V are non-zero. Before Task 23 (camera frame, as first shipped): held (braking 34.3%–42.6%, planner 48.9%–51.7%)."
S2,Under the per-mode operating points those ranges are 29–45 % and 49–53 %,FAIL,"braking 25.3%–46.2%, planner 49.3%–52.3% (S1–S4)","calibration_cells.csv (nuScenes oracle, schemes S1–S4, all)","'Per-mode operating points' read as schemes S1–S4 together. Before Task 23 (camera frame, as first shipped): held (braking 29.2%–44.8%, planner 49.1%–52.5% (S1–S4))."
S3,"Harmed frames gain about twice as many false positives as helped frames while recovering fewer misses, and on 45.5 % of harmed frames escalation recovers no miss",FAIL,"FP gain ratio harmed/helped 1.68 (1.98 vs 1.18); misses recovered 0.60 vs 1.40; no miss recovered on 56.0% of harmed frames (50 harmed, 91 helped)","mechanism_table.csv (decision brake: nuScenes oracle, all units)","'About twice' checked as a ratio in [1.75, 2.25]. Before Task 23 (camera frame, as first shipped): held (FP gain ratio harmed/helped 1.85 (2.12 vs 1.14); misses recovered 0.87 vs 1.20; no miss recovered on 45.5% of harmed frames (143 harmed, 152 helped))."
S4,"Of the 153 frames to which both downstream systems respond, 80 are helped under one and harmed under the other",FAIL,oracle: 40 of 79 (mono: 88 of 171),"calibration_brake_vs_plan.csv (S0, all units)","Braking controller against the learned planner (ADE) on nuScenes planner frames. Before Task 23 (camera frame, as first shipped): held (oracle: 80 of 153 (mono: 156 of 309))."
D1,"No diagnostic signal approaches the oracle; the best are the risk-weighted gain at 0.562 [0.28, 0.75] on braking and PKL at 0.395 [0.14, 0.57] on the planner",FAIL,"brake: best dE_E6_risk_weighted 0.575 [0.31, 0.74]; plan_ade: best TIP 0.376 [0.13, 0.54] (nuScenes oracle, 20%, split all)","benchmark_table.csv (nuScenes oracle, split all, quota 0.2, non-deployable signals)","Split 'all' is the population whose camera-frame point values the statement quoted; its intervals match no shipped table even before Task 23 (they differ in the second decimal), so they come from an unshipped or earlier artifact. Before Task 23 (camera frame, as first shipped): did not hold (brake: best dE_E6_risk_weighted 0.562 [0.27, 0.74]; plan_ade: best PKL 0.395 [0.16, 0.57] (nuScenes oracle, 20%, split all))."
D2,"Under monocular geometry every diagnostic collapses toward random on braking: risk-weighted 0.165, PKL 0.087, TIP 0.068, against 0.103 for random",FAIL,"dE_E6_risk_weighted 0.227, PKL 0.289, TIP 0.271, random 0.119; paired interval against random excludes zero for PKL","benchmark_table.csv (nuScenes mono brake, split all, 20%)","The statement's random value 0.103 matches neither this table's exact-expectation random before or after Task 23; the table's random is quoted. Before Task 23 (camera frame, as first shipped): did not hold (dE_E6_risk_weighted 0.165, PKL 0.087, TIP 0.068, random 0.093)."
D3,"Exact perception gain never exceeds nDG 0.204 across the 16 configurations and is negative in seven; the multi-metric diagnostic exceeds 0.5 only in the two aggressive-gap KITTI longitudinal cells, and falls below the exact gain in three configurations",FAIL,max exact 0.337 (nuScenes ns_cheap_320 lateral mono); negative in 6; multi-metric > 0.5 in 3: KITTI cheap_320 longitudinal mono; KITTI cheap_320 longitudinal oracle; nuScenes ns_cheap_320 longitudinal oracle; multi-metric below exact in 4,"core_matrix.csv (eta_perception_oracle_20, eta_multimetric_perception_oracle_20; 16 configurations, all units)","Before Task 23 (camera frame, as first shipped): held (max exact 0.204 (KITTI cheap_320 longitudinal oracle); negative in 7; multi-metric > 0.5 in 2: KITTI cheap_320 longitudinal mono; KITTI cheap_320 longitudinal oracle; multi-metric below exact in 3)."
A1,"At the 20 % quota, learned allocators are the only deployable signals with a paired interval above random, on KITTI's trajectory controller under oracle geometry and on the two nuPlan planners",PASS,"all 18 winning rows learned: True; learned wins on the three named settings: True; wins also on: KITTI mono brake, KITTI oracle brake, nuScenes mono brake. Rows: nuScenes mono brake J gate_gbm@0.2 +0.337 [+0.10, +0.59]; KITTI oracle traj JB gate_gbm@0.2 +0.399 [+0.16, +0.69]; nuScenes mono brake J R1_mlp_reg@0.2 +0.220 [+0.04, +0.52]; nuScenes mono brake J R1_gbm_reg@0.2 +0.258 [+0.07, +0.50]; KITTI oracle brake J R1_mlp_clf@0.2 +0.174 [+0.00, +0.34]; KITTI oracle brake J R1_gbm_clf@0.2 +0.231 [+0.04, +0.42]; KITTI oracle traj JB R1_mlp_clf@0.2 +0.284 [+0.07, +0.64]; KITTI oracle traj JB R1_gbm_reg@0.2 +0.363 [+0.09, +0.72]; KITTI oracle traj JB R1_gbm_clf@0.2 +0.345 [+0.09, +0.68]; KITTI mono brake J R1_mlp_reg@0.2 +0.096 [+0.01, +0.20]; KITTI mono brake J R1_mlp_clf@0.2 +0.089 [+0.01, +0.17]; KITTI mono brake J R1_gbm_reg@0.2 +0.117 [+0.00, +0.29]; KITTI mono brake J R1_gbm_clf@0.2 +0.144 [+0.02, +0.30]; nuPlan n/a pdm_closed safety gate_ridge@0.2 +0.837 [+0.58, +0.88]; nuPlan n/a pdm_closed safety gate_gbm@0.2 +0.841 [+0.64, +0.88]; nuPlan n/a pdm_closed scalar_J gate_ridge@0.2 +0.837 [+0.60, +0.88]; nuPlan n/a pdm_closed scalar_J gate_gbm@0.2 +0.853 [+0.75, +0.88]; nuPlan n/a idm scalar_J R1_mlp_clf@0.2 +0.762 [+0.64, +0.83]","benchmark_table.csv + benchmark_table_routers.csv (KITTI, nuScenes) + benchmark_table_nuplan_real.csv (nuPlan, official), split test, quota 0.2","Read as: every deployable win at 20% is a learned allocator, and there are learned wins on the three named settings. The list is not exhaustive, before or after Task 23: learned wins also occur on other cells (named in the value). The routers table's and the benchmark table's own nuPlan rows are the historical transported detection-profile diagnostic and are not used here. Before Task 23 (camera frame, as first shipped): held (all 12 winning rows learned: True; learned wins on the three named settings: True; wins also on: KITTI mono brake, KITTI oracle brake. Rows: KITTI oracle traj JB gate_gbm@0.2 +0.413 [+0.18, +0.73]; KITTI oracle brake J R1_gbm_clf@0.2 +0.234 [+0.11, +0.41]; KITTI oracle traj JB R1_mlp_clf@0.2 +0.272 [+0.15, +0.60]; KITTI oracle traj JB R1_gbm_reg@0.2 +0.347 [+0.09, +0.69]; KITTI oracle traj JB R1_gbm_clf@0.2 +0.336 [+0.10, +0.63]; KITTI mono brake J R1_mlp_reg@0.2 +0.095 [+0.01, +0.22]; KITTI mono brake J R1_gbm_reg@0.2 +0.121 [+0.01, +0.29]; nuPlan n/a pdm_closed safety gate_ridge@0.2 +0.837 [+0.58, +0.88]; nuPlan n/a pdm_closed safety gate_gbm@0.2 +0.841 [+0.64, +0.88]; nuPlan n/a pdm_closed scalar_J gate_ridge@0.2 +0.837 [+0.60, +0.88]; nuPlan n/a pdm_closed scalar_J gate_gbm@0.2 +0.853 [+0.75, +0.88]; nuPlan n/a idm scalar_J R1_mlp_clf@0.2 +0.762 [+0.64, +0.83])."
A2,"Under deployed monocular geometry no signal in the headline set separates from random, and only two router variants do, both on KITTI braking",FAIL,"headline set: 1 winning rows: nuScenes mono brake J gate_gbm@0.2 +0.337 [+0.10, +0.59]; routers: 6: nuScenes mono brake J R1_mlp_reg@0.2 +0.220 [+0.04, +0.52]; nuScenes mono brake J R1_gbm_reg@0.2 +0.258 [+0.07, +0.50]; KITTI mono brake J R1_mlp_reg@0.2 +0.096 [+0.01, +0.20]; KITTI mono brake J R1_mlp_clf@0.2 +0.089 [+0.01, +0.17]; KITTI mono brake J R1_gbm_reg@0.2 +0.117 [+0.00, +0.29]; KITTI mono brake J R1_gbm_clf@0.2 +0.144 [+0.02, +0.30]","benchmark_table.csv (deployable signals) and benchmark_table_routers.csv, mono cells, test, 20%","'Headline set' read as the deployable signals of benchmark_table.csv (uncertainty, cheap-side criticality, ridge and gradient-boosted gates). Quota read as 20%. Before Task 23 (camera frame, as first shipped): held (headline set: 0 winning rows; routers: 2: KITTI mono brake J R1_mlp_reg@0.2 +0.095 [+0.01, +0.22]; KITTI mono brake J R1_gbm_reg@0.2 +0.121 [+0.01, +0.29])."
A3,"On every nuScenes cell, ego speed is below random, and no deployable baseline separates from random",FAIL,10%: ego speed below random in 5 of 6 cells; baselines separating: 0 | 20%: ego speed below random in 4 of 6 cells; baselines separating: 0 | 30%: ego speed below random in 4 of 6 cells; baselines separating: 2 (nuScenes mono brake J criticality_cheap; nuScenes mono brake J trivial_risk_cheap) | 50%: ego speed below random in 4 of 6 cells; baselines separating: 1 (nuScenes oracle brake J trivial_ego_speed),"statistics_hardening.csv (paired_gain, nuScenes, test)","Checked at 20% (verdict) and reported at every quota. 'Separates' = the official filtered paired interval (beats_random_filtered); deployable baselines = uncertainty, cheap-side criticality and the four trivial baselines. Before Task 23 (camera frame, as first shipped): held (10%: ego speed below random in 4 of 6 cells; baselines separating: 0 | 20%: ego speed below random in 6 of 6 cells; baselines separating: 0 | 30%: ego speed below random in 5 of 6 cells; baselines separating: 2 (nuScenes mono brake J criticality_cheap; nuScenes mono brake J trivial_risk_cheap) | 50%: ego speed below random in 4 of 6 cells; baselines separating: 0)."
A4,Ego speed has the highest point estimate among deployable baselines on all four KITTI cells but separates from random on none,FAIL,"mono brake J: best trivial_ego_speed 0.415, ego speed 0.415 (separates); mono traj JB: best trivial_area_max 0.201, ego speed -0.691 (does not separate); oracle brake J: best trivial_ego_speed 0.584, ego speed 0.584 (separates); oracle traj JB: best trivial_ego_speed 0.795, ego speed 0.795 (does not separate)","statistics_hardening.csv (paired_gain, KITTI, test, 20%)","Quota read as 20%. Before Task 23 (camera frame, as first shipped): held (mono brake J: best trivial_ego_speed 0.402, ego speed 0.402 (does not separate); mono traj JB: best trivial_ego_speed 0.554, ego speed 0.554 (does not separate); oracle brake J: best trivial_ego_speed 0.563, ego speed 0.563 (does not separate); oracle traj JB: best trivial_ego_speed 0.784, ego speed 0.784 (does not separate))."
A5,"Across the four quotas, 25 deployable rows beat random on test: 23 learned gates, plus cheap-side criticality on nuScenes mono braking at 30 % and on PDM-Closed safety at 50 %. Each detection-list router variant adds 9–16 wins; the pixel router adds none",FAIL,"29 non-router deployable wins: 26 gate rows, others: nuScenes mono brake J criticality_cheap@0.3 +0.381 [+0.04, +0.69]; KITTI mono traj JB uncertainty@0.3 +0.280 [+0.07, +0.52]; nuPlan n/a pdm_closed safety criticality_cheap@0.5 +0.536 [+0.03, +0.66]; router wins: R1_mlp_reg 11, R1_mlp_clf 16, R1_gbm_reg 11, R1_gbm_clf 11, R2_cnn_clf 0","benchmark_table.csv + benchmark_table_routers.csv (KITTI, nuScenes) + benchmark_table_nuplan_real.csv, test, 10/20/30/50%","Wins = minus_random_lo > 0 (the official filtered paired interval). nuPlan from the official real-perception table; the PDM-Closed criticality row of the statement is read against it. Before Task 23 (camera frame, as first shipped): held (25 non-router deployable wins: 23 gate rows, others: nuScenes mono brake J criticality_cheap@0.3 +0.377 [+0.07, +0.61]; nuPlan n/a pdm_closed safety criticality_cheap@0.5 +0.536 [+0.03, +0.66]; router wins: R1_mlp_reg 9, R1_mlp_clf 16, R1_gbm_reg 11, R1_gbm_clf 9, R2_cnn_clf 0)."
A6,"On realised gain with every draw kept, nine of the thirteen deployable wins at 20 % survive; the four that do not are the two PDM-Closed safety gates, the scalar-loss gradient-boosted gate and IDM's router. The oracle-prize filter adds 7 to 20 wins across the four quotas and removes none",FAIL,"at 20%: 20 filtered wins, 16 survive with every draw kept; not surviving: nuPlan n/a pdm_closed safety gate_ridge; nuPlan n/a pdm_closed safety gate_gbm; nuPlan n/a pdm_closed scalar_J gate_gbm; nuPlan n/a idm scalar_J R1_mlp_clf; filter adds [11, 7, 8, 19] and removes [0, 0, 0, 1] at 10/20/30/50%","statistics_hardening.csv (paired_gain, test)","Deployable = learned allocators and target-free baselines (uncertainty, cheap-side criticality, trivial baselines); the filter's added and removed wins are counted over every signal of the table (the reading that reproduces the statement's 7–20 on the pre-Task-23 table). nuPlan cells are the official real-perception ones. Before Task 23 (camera frame, as first shipped): held (at 20%: 13 filtered wins, 9 survive with every draw kept; not surviving: nuPlan n/a pdm_closed safety gate_ridge; nuPlan n/a pdm_closed safety gate_gbm; nuPlan n/a pdm_closed scalar_J gate_gbm; nuPlan n/a idm scalar_J R1_mlp_clf; filter adds [11, 7, 7, 20] and removes [0, 0, 0, 0] at 10/20/30/50%)."
A7,Removing the single dominant nuPlan log leaves the gates' ratio at 0.99 while 93 % of the realised gain disappears (162.9 → 12.0),PASS,gate_ridge: nDG 0.992 -> 1.000 without 2021.05.12.23.36.44_veh-35_00152_00504; gain 162.9 -> 12.0 (93% lost); gate_gbm: nDG 0.992 -> 1.000 without 2021.05.12.23.36.44_veh-35_00152_00504; gain 162.9 -> 12.0 (93% lost),"statistics_hardening.csv (influence, nuPlan PDM-Closed safety, 20%)","'Leaves the ratio at 0.99' read as: nDG 0.99 with every log and at least 0.99 without the dominant one. Before Task 23 (camera frame, as first shipped): held (gate_ridge: nDG 0.992 -> 1.000 without 2021.05.12.23.36.44_veh-35_00152_00504; gain 162.9 -> 12.0 (93% lost); gate_gbm: nDG 0.992 -> 1.000 without 2021.05.12.23.36.44_veh-35_00152_00504; gain 162.9 -> 12.0 (93% lost))."
C1,"The feature-based gates spend 18–19 % of a full pass on feature extraction; at a 20 % latency budget the ridge gate is infeasible and the batched gradient-boosted gate escalates at most 1.7 % of inputs, and neither beats random",PASS,"feature share of a full pass: overheads.json: KITTI 20.8%, nuScenes 18.5%; overheads_routers.json: KITTI 19.1%, nuScenes 18.2%; ridge feasible in 0 of 10 core cells at 20% ms; batched GBM escalates at most 1.73%; winning rows 0","benchmark_budget_overheads_routers.json, benchmark_budget_overheads.json, benchmark_budget_routers.csv (core cells, ms, 20%)","ARTIFACT DISAGREEMENT: the two overhead files measured the feature extraction at different times and give different shares; the routers file is the one the router budget table uses. Before Task 23 (camera frame, as first shipped): held (feature share of a full pass: overheads.json: KITTI 20.8%, nuScenes 18.5%; overheads_routers.json: KITTI 19.1%, nuScenes 18.2%; ridge feasible in 0 of 10 core cells at 20% ms; batched GBM escalates at most 1.73%; winning rows 0)."
C2,"The detection-list router costs 0.65 ms, about 3.5 % of a full pass, still escalates 16.5 % of inputs at the 20 % latency budget, and is the only learned allocator on the core track that beats random there",PASS,"KITTI 0.654 ms = 3.5% of FULL, escalates 16.5%, nuScenes 0.649 ms = 3.4% of FULL, escalates 16.6%; learned rows beating random at 20% ms: KITTI oracle traj JB R1_mlp_clf@0.2 +0.214 [+0.00, +0.61]","benchmark_budget_overheads_routers.json; benchmark_budget_routers.csv (core cells, ms, 20%)","'The detection-list router' read as the MLP variants (R1_mlp_reg, R1_mlp_clf), which share the cost. Before Task 23 (camera frame, as first shipped): held (KITTI 0.654 ms = 3.5% of FULL, escalates 16.5%, nuScenes 0.649 ms = 3.4% of FULL, escalates 16.6%; learned rows beating random at 20% ms: KITTI oracle traj JB R1_mlp_clf@0.2 +0.215 [+0.11, +0.56])."
C3,"The pixel router spends 26–50 % of a full pass on resize and upload and beats random nowhere, even at no cost",PASS,"resize + upload + TensorRT: KITTI 26.1%, nuScenes 50.5%; resize + upload alone: KITTI 17.7%, nuScenes 42.5%; winning R2 rows at any quota under a frame quota: 0","benchmark_budget_overheads_routers.json; benchmark_table_routers.csv (R2, every quota)","The 26–50 % range matches resize + upload + TensorRT inference, not resize and upload alone. Before Task 23 (camera frame, as first shipped): held (resize + upload + TensorRT: KITTI 26.1%, nuScenes 50.5%; resize + upload alone: KITTI 17.7%, nuScenes 42.5%; winning R2 rows at any quota under a frame quota: 0)."
C4,"Uniform full fidelity is infeasible below 28.6 % of a full pass on KITTI and nuPlan and 34.3 % on nuScenes; where feasible, at the 50 % latency budget it is ahead of the best allocator in seven of the ten core cells",FAIL,"KITTI 28.6%, nuPlan 28.6%, nuScenes 34.3%; at 50% ms uniform full ahead in 8 of 10 core cells: nuScenes oracle brake J 14.22% vs 10.75%; nuScenes oracle plan_ade JC_ade -0.08% vs 0.07%; nuScenes oracle plan_fde JC_fde 1.40% vs 0.97%; nuScenes mono brake J 16.49% vs 12.45%; nuScenes mono plan_ade JC_ade 2.64% vs 1.37%; nuScenes mono plan_fde JC_fde 3.04% vs 2.62%; KITTI oracle brake J 26.87% vs 13.46%; KITTI oracle traj JB 51.93% vs 30.35%; KITTI mono brake J 11.09% vs 6.05%; KITTI mono traj JB -2.41% vs 0.97%","benchmark_budget_overheads.json (costs); causal_threshold.csv (budget 0.5; uniform_full and policy B, V1, feasible rows)","Compared as loss reduction against the all-cheap loss (the uniform row's nDG is 1 by construction). 'Best allocator' = the best feasible streaming allocator (policy B) over both variants V1 and V2: the reading that reproduces the statement's seven on the pre-Task-23 table (V1 alone gives eight there). Before Task 23 (camera frame, as first shipped): held (KITTI 28.6%, nuPlan 28.6%, nuScenes 34.3%; at 50% ms uniform full ahead in 7 of 10 core cells: nuScenes oracle brake J 8.21% vs 8.27%; nuScenes oracle plan_ade JC_ade 0.26% vs 0.34%; nuScenes oracle plan_fde JC_fde 1.30% vs 1.42%; nuScenes mono brake J 9.05% vs 8.29%; nuScenes mono plan_ade JC_ade 2.62% vs 2.18%; nuScenes mono plan_fde JC_fde 2.74% vs 1.12%; KITTI oracle brake J 26.49% vs 16.05%; KITTI oracle traj JB 51.77% vs 30.55%; KITTI mono brake J 10.15% vs 7.19%; KITTI mono traj JB 16.37% vs 12.26%)."
C5,"Charged as a skipping router, the pixel router escalates 83.5 % of KITTI inputs at the 50 % latency budget against 23.9 % under the cascade, and over the 38 cell-unit-budget combinations with a positive share it beats random in none and loses in three",FAIL,"KITTI 50% ms: skipping 83.5%, cascade 23.9%; 28 combinations with a positive share, beats random in 1, loses in 0",skip_accounting.csv (shares; evaluation),"energy_module_skip_accounting.csv, by energy convention: all_rails: 24 combinations, beats 1, loses 0; as_specified: 24 combinations, beats 1, loses 2; module: 30 combinations, beats 1, loses 2. No shipped table gives 38 combinations, before or after Task 23. Before Task 23 (camera frame, as first shipped): did not hold (KITTI 50% ms: skipping 83.5%, cascade 23.9%; 28 combinations with a positive share, beats random in 0, loses in 2)."
T1,"Refitting on perception-gain labels gives a pooled mean paired difference of +0.12 [−0.09, +0.27] for the ridge gate and +0.09 [−0.09, +0.21] for the gradient-boosted gate, with every interval containing zero for all six architectures and all labels; four of six lean to the decision-value target; the decision-value target wins significantly in 8 of 72 pooled pairs and the perception-gain target in 5; over the ten core cells the gate means are +0.007 and −0.011",FAIL,"ridge +0.16 [-0.04, +0.27], GBM +0.13 [-0.03, +0.23]; every interval contains zero: True; lean to V: 5 of 6; significant V 10, G 8 of 72; core-10 gate means +0.052, +0.049","benchmark_target_swap_summary.json (pooled, primary G); benchmark_target_swap.csv (primary, 20%, core cells)","Pooled over 12 cells (10 core + 2 PDM-Closed) at 20%, V minus G. Before Task 23 (camera frame, as first shipped): held (ridge +0.12 [-0.09, +0.27], GBM +0.09 [-0.09, +0.21]; every interval contains zero: True; lean to V: 4 of 6; significant V 8, G 5 of 72; core-10 gate means +0.007, -0.011)."
T2,"Median transfer regret is −0.002 over the 528 off-diagonal entries, off-diagonal entries beat random 18 of 132 against 9 of 78 on the diagonal at 20 %, and the gradient-boosted gate fitted for PDM-Closed reaches 0.94 on IDM where the gate fitted for IDM reaches 0.00",FAIL,"median regret -0.0093 over 528 off-diagonal entries; at 20% off-diagonal beating random 17 of 132 (filtered; 9 with every draw), diagonal 18 of 78 (filtered; 14 with every draw); GBM gate PDM-Closed -> IDM 0.94, IDM -> IDM 0.00",consumer_transfer.csv (entries; 20% for the counts),"The statement does not say which interval the counts use; the every-draw counts are the ones that reproduce it on the pre-Task-23 table (18 and 9). Both are reported. Before Task 23 (camera frame, as first shipped): held (median regret -0.0025 over 528 off-diagonal entries; at 20% off-diagonal beating random 26 of 132 (filtered; 18 with every draw), diagonal 13 of 78 (filtered; 9 with every draw); GBM gate PDM-Closed -> IDM 0.94, IDM -> IDM 0.00)."
T3,"Ranking signals by realised perception gain rather than decision value changes the winner in 42 of 52 cell-budget pairs under one gain and 40 of 52 under the other, with median Kendall tau +0.17 and +0.01; in 16 and 22 of the 52 the perception-selected signal does not beat random on decision value; the median regret is 0.10 of nDG, and 4 of 52 differences exclude zero under the first gain and none under the second",FAIL,"E_perc_dE: 43 of 52 winners change, median tau +0.171, perception pick not beating random 15, median regret 0.095, regret intervals excluding zero 5; E_perc_risk: 40 of 52 winners change, median tau +0.200, perception pick not beating random 20, median regret 0.078, regret intervals excluding zero 0","objective_swap.csv (compare, headline pool, E_dec defined)","Regret = nDG(decision winner) - nDG(perception winner) on decision value. 'The median regret' is read as the first gain's (E_perc_dE), which reproduces 0.10 on the pre-Task-23 table; pooled over both it was 0.11. Before Task 23 (camera frame, as first shipped): held (E_perc_dE: 42 of 52 winners change, median tau +0.171, perception pick not beating random 16, median regret 0.104, regret intervals excluding zero 4; E_perc_risk: 40 of 52 winners change, median tau +0.014, perception pick not beating random 22, median regret 0.122, regret intervals excluding zero 0)."
R1,Requiring a KITTI detection to persist for three frames removes 26–32 % of detections and moves harmed shares by at most 7 points,PASS,detections removed 25.7%–32.0% (CHEAP and FULL); largest move of the harmed share 6.8 points (YOLOv8s 320->640 oracle q_brake),"persistence_sweep.csv (n = 3 against n = 1, all units)","Before Task 23 (camera frame, as first shipped): held (detections removed 25.7%–32.0% (CHEAP and FULL); largest move of the harmed share 7.2 points (YOLOv8s 320->640 oracle q_brake))."
R2,"Streaming: a causal running cap costs −0.10 [−0.18, −0.02] against the offline ranking, an adaptive threshold −0.08, the token bucket matches the cap, rate misses fall from 63 to 12, and a randomly ordered cap costs 0.01",FAIL,"cap (B) -0.088 [-0.17, +0.00]; adaptive threshold (D) -0.071; token bucket (E) -0.088 (equal to B: True); rows missing the rate by > 5 points: B 54, D 14, E 54; random under the cap -0.012","streaming_controllers.csv (pooled and rows, 20%, V1, learned signals)","Policies as in the artifact: B causal running cap, D adaptive threshold, E token bucket, C offline ranking. Before Task 23 (camera frame, as first shipped): held (cap (B) -0.100 [-0.18, -0.02]; adaptive threshold (D) -0.083; token bucket (E) -0.100 (equal to B: True); rows missing the rate by > 5 points: B 63, D 12, E 63; random under the cap -0.011)."
E1,"PDM-Closed harms 44 % of the states whose safety loss changes and 38 % under the scalar loss (20 and 39 of 1,440), with harm ratios 0.33 and 0.35, and an oracle at 20 % capacity reduces the safety loss by 14.7 % against 9.8 % for uniform escalation",PASS,"safety 44.4% (20 of 45 affected, 1440 states), scalar 37.5% (39 of 104); ratios 0.334, 0.348; oracle@20 14.7%, uniform 9.8%","nuplan_real_perception_cells.csv (PDM-Closed, primary, all logs)","official real-perception nuPlan result Before Task 23 (camera frame, as first shipped): held (safety 44.4% (20 of 45 affected, 1440 states), scalar 37.5% (39 of 104); ratios 0.334, 0.348; oracle@20 14.7%, uniform 9.8%)."
E2,"IDM's safety loss changes on 5 of 1,440 states; dropping the unmatched detections leaves PDM-Closed's safety loss changing on 6 states instead of 45",PASS,"IDM 5 of 1440; PDM-Closed without unmatched detections 6, primary 45","nuplan_real_perception_cells.csv (all logs; variants primary, nofp)","official real-perception nuPlan result Before Task 23 (camera frame, as first shipped): held (IDM 5 of 1440; PDM-Closed without unmatched detections 6, primary 45)."
